id	type	age	metric1
117	c	32	65.6546372767964
118	b	32	42.9653256971858
119	c	29	50.6443306628129
120	c	33	48.7966024350135
121	a	30	51.8958276993349
122	a	37	56.1529989022645
123	b	32	65.5439037382043
124	b	38	29.9323295405798
125	b	36	31.1602796549698
126	a	32	54.2885518799569
127	a	39	47.2342104191282
128	a	35	68.9934635609369
129	b	31	93.2543737791261
130	a	35	50.3369325415833
131	c	35	70.9713878763476
132	b	33	36.9651108398867
133	c	33	54.6351980282739
134	c	44	45.7964406155217
135	b	29	54.0082789678308
136	c	32	57.8000025663117
137	c	31	9.68286683408598
138	a	31	46.1868543307742
139	a	35	46.179072833873
140	b	31	40.4286377160286
141	b	30	56.1139990150763
142	a	35	56.7780809977599
143	b	35	35.9919626405224
144	c	40	27.3738702949604
145	c	33	54.1512658074206
146	c	35	48.8842736776428
147	c	38	54.1549249586924
148	c	31	38.8370368058909
149	a	33	65.1297992864714
150	c	35	44.6250139932932
151	a	35	70.0001842970019
152	c	42	44.1950621621124
153	b	33	31.7445400711755
154	a	40	43.4534681086799
155	c	31	50.5777148838544
156	a	30	47.2106077050436
157	b	36	44.8518052956301
158	a	34	27.7932467227835
159	b	35	47.013645542223
160	b	34	48.7515631377787
161	b	36	20.8142483249786
162	c	36	48.4365807036915
163	a	33	42.2539309106873
164	b	35	25.8709568285816
165	c	32	54.4458669254754
166	c	33	12.001727311397
167	c	36	42.8394761398469
168	c	34	18.9850904997517
169	b	36	52.114787322638
170	c	31	28.5584028928959
171	a	32	61.1189722739523
172	c	33	23.444309345807
173	a	36	68.6348854032617
174	b	34	22.6296642951772
175	b	33	55.5026616882566
176	b	38	31.4387002088771
177	c	32	37.5831902180318
178	a	36	66.7977820267354
179	a	34	41.4107529304559
180	a	33	43.2224217549788
181	c	31	56.2875035556737
182	c	36	57.2462457917006
183	a	32	63.8070571882462
184	a	37	33.8956296078692
185	b	39	74.002215959622
186	b	29	63.2340857991923
187	b	38	36.5742339079834
188	c	33	39.5835067436783
189	b	36	51.3181304939027
190	a	31	63.5723393831019
191	c	34	55.8654050701622
192	a	32	57.823498393243
193	b	35	65.1508768618943
194	a	33	44.1790067184519
195	c	36	40.8018380388392
196	a	34	18.5286896905044
197	a	36	59.1981897320247
198	c	39	37.2829026502323
199	c	37	70.7429547300026
200	a	37	49.7503916724914
201	a	36	48.9042062987081
202	a	32	52.3805864143352
203	a	37	44.8401717332043
204	a	36	41.7034963590449
205	a	35	45.5101952955846
206	a	28	53.0735804709918
207	b	37	43.3844987766558
208	b	31	67.695099702533
209	b	32	47.2703837003311
210	a	33	61.0307099341309
211	a	33	44.120973469623
212	a	32	70.8709128236213
213	b	36	48.2552384079034
214	b	32	25.2596753668413
215	b	35	66.2068293400888
216	b	36	66.668145204145
217	b	34	43.03892722737
218	a	33	16.8748518288139
219	b	39	62.7338513720186
220	b	35	45.5594086032297
221	b	31	50.9986251724286
222	b	36	46.6264654916954
223	a	29	59.1535580401587
224	a	33	96.2361194335658
225	c	34	72.5582400915167
226	a	33	49.1913435168983
227	b	34	44.7589213158732
228	a	34	51.2917248248633
229	a	27	56.7143105469979
230	c	35	50.0638356392356
231	a	31	59.477674715964
232	c	32	63.1302317989801
233	a	36	30.0007448326707
234	b	32	37.9128438767079
235	b	38	43.4072865112411
236	b	34	57.2893388605373
237	c	33	38.0855611972512
238	a	36	53.6591873877149
239	c	36	62.0393088992446
240	a	36	46.0553172042097
241	a	41	48.9171760781263
242	a	34	37.5181940715147
243	c	31	84.3900481299642
244	a	35	72.4665425231159
245	c	32	49.4831850286312
246	b	31	68.5996224813463
247	a	45	23.4007161706409
248	c	33	66.0061506477672
249	c	38	49.1382186198137
250	b	33	24.7834448029377
251	a	31	42.6244597654629
252	c	36	38.7895090723283
253	b	34	61.1260914954535
254	a	37	45.8860426490774
255	b	38	67.5508916630107
256	c	38	47.1122832255297
257	a	34	69.9479243441395
258	b	33	54.5118162337747
259	b	35	51.9610776379622
260	b	36	55.5786767915483
261	a	31	44.5555868795129
262	a	34	40.158891201484
263	a	37	52.7859812986655
264	a	30	42.1337737542966
265	b	39	70.1948070352357
266	a	33	40.6504355801671
267	a	37	50.1070568760927
268	c	30	45.4314558226501
269	b	34	42.5405553814833
270	c	31	36.096634918158
271	a	38	47.9454635707136
272	c	31	24.9862969545291
273	b	36	29.6094700425728
274	a	35	40.468012310498
275	a	32	51.2559269913079
276	b	32	27.6195685641682
277	c	37	56.3277427541082
278	c	34	53.6194273104074
279	c	31	64.8886097236693
280	c	40	62.3700432744872
281	b	32	44.1411933775588
282	a	39	63.2043192828789
283	b	38	31.0662037681107
284	a	32	51.7810968693273
285	a	36	29.7012738611851
286	c	37	49.6573853614836
287	b	35	64.0879588830895
288	c	33	72.7279518086033
289	c	34	12.6474824310936
290	c	37	42.2031308556626
291	b	37	81.3492888614258
292	b	33	18.6772447544692
293	a	40	54.308087209136
294	c	36	30.3840444974774
295	c	33	61.3434923588349
296	a	41	61.6002028601371
297	b	41	35.0555471397241
298	a	33	66.7842251860904
299	c	34	53.3162600418603
300	c	39	45.9825413698745
301	a	31	31.9929547995305
302	a	35	57.575743867205
303	b	36	54.1450907704084
304	a	30	24.2329864863827
305	a	37	39.4390885453687
306	c	35	47.8386322365812
307	b	36	33.823952695016
308	c	34	70.9003349730978
309	a	37	69.1007491823671
310	c	34	60.8622886742077
311	a	36	65.2875733207753
312	c	32	39.6683793011804
313	c	35	57.2795618478857
314	b	37	44.5179117136483
315	a	36	62.3085598482537
316	b	35	58.1852495576631
317	a	33	58.8432594164509
318	a	33	35.2608089753296
319	c	34	18.2607247716546
320	b	36	17.189784238028
321	b	36	58.3910661717193
322	c	31	42.6879871360396
323	a	29	55.3879062188919
324	a	37	47.796797523716
325	c	40	67.5319355537072
326	b	39	53.4485138494791
327	a	38	46.6148568107817
328	c	38	50.5565383029236
329	c	34	57.2264198414263
330	a	34	63.0835509105787
331	c	29	41.110227084995
332	b	39	50.0711754555705
333	a	33	27.6642261599555
334	b	34	84.8626482056854
335	b	35	21.4887301327117
336	b	39	28.1475540198107
337	a	30	33.0380462735813
338	b	35	45.5454817965601
339	a	33	63.0924443786606
340	a	32	62.6472174333282
341	a	29	34.0778432112846
342	b	38	43.1473615782281
343	b	35	60.8629707998236
344	a	35	26.747736799614
345	c	36	44.6091486615758
346	b	35	64.7196536722657
347	c	40	40.5950926683797
348	c	32	52.2519179967046
349	c	34	49.7732718865293
350	a	32	58.184838382325
351	c	33	71.8340114792221
352	a	37	60.8935387303796
353	a	33	73.0076880105279
354	a	35	55.7591501496562
355	b	34	57.7339881950165
356	a	33	34.8138920587537
357	b	34	38.7027619332993
358	c	32	54.0144737092008
359	a	34	36.5344697843776
360	c	32	40.5682072223909
361	a	31	63.4207465937114
362	a	34	50.5513838210718
363	c	37	61.8714639923495
364	a	33	66.8316889123562
365	c	37	32.5136332867648
366	c	35	43.2429229822605
367	c	30	53.339907462586
368	b	34	57.77790539222
369	a	34	61.8750455629548
370	a	32	29.5200735302196
371	b	35	42.8180443483694
372	c	38	27.6316890984628
373	c	31	62.7407929079802
374	b	30	68.9220190994332
375	c	35	67.6625376577366
376	a	32	57.0157716861706
377	c	34	27.9516801849495
378	c	38	56.9213434526422
379	c	35	51.2133233366942
380	c	36	47.9599974231925
381	a	38	69.9201905415512
382	a	34	59.2323359435868
383	c	37	34.6258894038299
384	c	36	37.5779922343335
385	a	37	38.8789756543746
386	a	36	36.2544531025905
387	a	36	42.5663326751014
388	a	38	56.5941199017119
389	a	35	58.6680305689826
390	c	33	55.0905593472108
391	c	41	45.3481966265779
392	a	34	37.147345512742
393	b	34	51.0263765161885
394	c	30	11.054155324998
395	c	36	36.9971559947002
396	c	33	52.9789494361962
397	b	43	56.7664874686752
398	b	32	40.3578300535441
399	a	33	64.073314023912
400	b	35	37.092607116841
401	c	38	33.4513839650446
402	b	41	62.0016162944633
403	b	34	55.2753865315371
404	b	37	57.4203854699025
405	a	41	40.930741783332
406	a	35	43.8653455124115
407	a	36	54.3118754076509
408	a	32	62.8022113789971
409	b	38	52.1447756257885
410	a	35	17.5887959597855
411	a	39	34.8388498445294
412	b	35	63.5969065103404
413	b	39	70.3429855989347
414	a	33	64.1748632016313
415	a	41	59.1477778192626
416	a	35	51.63623900576
417	c	33	48.5626675216957
418	b	34	71.4104275636745
419	b	39	56.5044407103664
420	a	36	58.0956297620737
421	b	32	50.7203267380443
422	c	34	68.5969680240676
423	c	34	24.863583919838
424	a	33	29.2837987443854
425	b	36	38.7969955694172
426	a	34	29.5774987244404
427	a	32	50.2507673120099
428	b	33	41.5623600697395
429	a	34	65.4432641241765
430	a	31	44.8245827072047
431	a	36	38.6518096906664
432	a	36	59.6986978976466
433	b	33	63.1210399971975
434	b	37	35.3266128755992
435	c	28	58.4957123539777
436	b	34	36.8771651161987
437	a	37	54.5452583404627
438	a	30	40.8430284413691
439	b	31	58.7562376453253
440	b	38	50.9696725214957
441	a	34	78.4039044121399
442	a	38	54.4037490206204
443	c	36	54.0286177080022
444	c	41	39.4371308039539
445	a	32	42.5746110297036
446	c	34	27.7764898491757
447	b	29	53.1936629612407
448	b	43	60.2436219409241
449	c	33	89.2204379452921
450	c	34	60.1920515682431
451	a	36	66.3794552217209
452	c	31	37.6867716201637
453	a	34	77.4529707540597
454	b	31	57.9563527648997
455	a	35	45.6133070916055
456	a	39	54.0145431392142
457	c	37	50.8245913276044
458	b	33	54.7666963212902
459	b	37	86.6995901603478
460	b	37	52.3993222202594
461	a	35	43.354034417545
462	c	32	36.9115873356925
463	c	33	51.1934160936541
464	c	30	32.3411103596851
465	b	35	35.5442378325131
466	b	35	59.9743470637655
467	b	36	54.0127060486804
468	a	35	48.7758976234812
469	c	32	50.9636489875581
470	c	33	60.1017576906954
471	a	35	44.672138701562
472	c	41	56.4539954438384
473	c	30	49.164002836151
474	a	35	26.1310967385499
475	b	30	52.1162106897107
476	a	37	50.8420266949226
477	b	32	35.2569219308339
478	c	37	24.3214086851407
479	c	30	70.4966157740708
480	b	31	72.5711402156854
481	b	33	71.0538394807461
482	b	37	70.5262944117781
483	a	38	72.2967995981317
484	b	30	41.28350665731
485	a	28	77.8980605769686
486	a	36	28.9680037405089
487	b	32	58.136296673061
488	b	34	49.8479804231821
489	b	39	67.4772058118538
490	c	34	36.1725154243122
491	a	30	39.9877369115157
492	c	34	26.9822440856791
493	b	37	38.0251930143518
494	c	35	28.0159180967738
495	c	33	48.0454445893223
496	c	30	70.7686372629266
497	b	33	39.0992620522147
498	b	33	61.4228515434527
499	a	31	65.4404360918271
500	c	36	40.4014627548399
501	b	34	69.551922425015
502	c	37	46.6432843996073
503	a	36	39.5571133953447
504	b	39	88.9714360440269
505	b	35	61.2995120221156
506	c	33	43.118385072687
507	a	36	50.4248412834188
508	b	32	55.9521467625619
509	a	36	49.020092896663
510	a	38	46.0829548206689
511	b	36	61.1177975861954
512	c	33	45.2164188635724
513	b	32	25.4519844744394
514	a	33	46.35518866736
515	c	42	59.5949275055186
516	a	36	48.5245776598951
517	c	36	33.4724423823777
518	b	37	50.7561126121127
519	c	37	52.2570908444324
520	c	37	60.2166542175106
521	a	35	41.9809225460966
522	b	33	59.7032328843617
523	c	34	32.3008570793729
524	c	37	43.5829843195269
525	b	35	57.7260339509066
526	a	28	56.045156503185
527	a	36	74.7115806900295
528	c	37	73.8320014032028
529	a	29	62.1756959139991
530	b	34	51.443027107087
531	a	41	20.1243435430995
532	a	31	52.6173293981253
533	c	31	36.3405096063492
534	c	32	60.8092238586403
535	b	30	50.7314544953213
536	c	40	40.1157821466164
537	b	35	55.3043904603165
538	a	40	53.5845295737984
539	b	34	47.1070866439045
540	b	31	54.4763507400904
541	a	36	20.6892272054085
542	c	38	56.7486877081259
543	c	34	43.3758387916201
544	b	34	51.4880952569058
545	a	32	66.0817813940409
546	a	36	41.253173989079
547	a	34	62.631572726792
548	a	31	54.5419219568433
549	b	38	43.9173704981114
550	b	35	64.6627450244569
551	c	32	58.0639895750085
552	c	31	64.1302018070809
553	c	37	76.7811110302612
554	b	29	64.513236854788
555	a	37	63.2458551388116
556	c	36	26.1968943762586
557	c	36	53.0113304796231
558	b	34	35.3537289990373
559	a	37	51.045193993583
560	a	32	22.8042954087593
561	b	36	71.1296449698108
562	c	35	46.8730415047836
563	b	32	62.7092857220393
564	b	35	47.9092644574557
565	c	36	15.0951374447768
566	b	35	57.0467076652674
567	c	32	38.3306757417066
568	c	32	42.0891766836789
569	a	27	49.9637460695941
570	c	34	56.2665106144508
571	b	35	58.4929925819961
572	b	32	69.9490534217188
573	c	36	50.7412611137225
574	c	38	44.2043402254278
575	b	38	9.55006753061542
576	a	32	47.4587368562993
577	a	41	47.2243072650823
578	b	37	75.1331762870738
579	a	33	46.6941747007675
580	b	34	69.2502227301946
581	a	37	71.5033733068941
582	a	35	30.0653457723027
583	a	34	64.2145885560254
584	c	33	65.1251037142396
585	b	36	31.9866610861182
586	a	38	47.6934437392353
587	b	31	62.3321469094807
588	a	33	54.179997881355
589	c	36	81.893985260815
590	a	29	48.0369058204751
591	b	36	37.5900179789646
592	a	33	47.0494522895487
593	a	33	87.376017657094
594	c	34	28.4455118194069
595	b	32	66.6079544006797
596	a	33	58.4451990309436
597	a	34	39.9714038734747
598	c	38	67.1080768103168
599	a	38	57.3546375638324
600	a	34	43.9763687283181
601	b	36	54.4955972999905
602	a	32	69.8838342499318
603	b	35	26.7730317356564
604	c	35	47.9801677977291
605	a	37	58.5482479453092
606	a	34	39.4315061258616
607	c	33	71.3432980629982
608	a	32	70.0545431371944
609	c	36	63.8337454431919
610	a	37	32.0484366593423
611	c	40	39.2880735821423
612	a	33	56.2518872878164
613	a	33	38.4253812813528
614	a	37	10.6894096969022
615	a	36	48.0272812518894
616	b	33	58.345902355574
617	a	34	27.3478252135808
618	b	31	50.727591748184
619	b	28	43.7261507635232
620	c	31	44.7403239570851
621	b	31	66.7325624090841
622	c	36	74.0109272460496
623	b	34	39.1175535969842
624	b	37	40.3317574114119
625	b	32	48.7835840268429
626	c	30	48.3005871170116
627	b	37	51.7577882427201
628	b	33	33.1113591940891
629	a	30	71.697250795002
630	c	31	59.5967017660634
631	b	33	47.6907162355179
632	c	25	64.4868338082105
633	a	35	51.8731407292863
634	a	33	53.3964463282009
635	c	31	70.0784865963817
636	c	37	67.9754214696026
637	b	32	62.3094512594057
638	a	39	44.5011077113011
639	a	31	43.3279900696606
640	b	37	65.5339285319602
641	a	36	72.3743692497149
642	b	34	50.3662284832572
643	b	40	62.4671396168433
644	b	28	66.010762232507
645	b	32	45.7124550618664
646	c	34	56.3971258570633
647	b	41	33.2275786551257
648	a	33	60.9017314403711
649	c	32	37.6532964362386
650	a	35	50.1312159016354
651	c	33	59.5934338470263
652	a	31	44.3874080432399
653	b	39	70.1734086145015
654	c	39	58.6736486015521
655	c	33	43.4190964277402
656	b	33	67.5315524342469
657	a	38	50.0772412728154
658	a	32	65.5539698708067
659	a	37	47.1544361203642
660	b	32	48.2555750226224
661	a	28	49.7842270351481
662	c	34	33.1596992296603
663	b	35	28.5256680125404
664	b	40	36.7634175904979
665	c	33	46.7420495991858
666	c	32	39.0654927982188
667	c	33	50.5651870557977
668	c	37	10.9151917549826
669	a	36	60.7642144958702
670	a	34	30.4713184759275
671	a	35	45.7115109968096
672	b	36	76.7933756685031
673	b	34	57.0875132733973
674	c	34	47.6046721948901
675	a	38	58.2338475971614
676	b	34	17.0113970611054
677	b	34	63.4008302623491
678	b	34	56.2198937519969
679	c	36	41.5930346496724
680	a	30	60.8731609439509
681	a	37	52.0260888712479
682	b	36	23.0529808458916
683	a	36	43.202544384743
684	b	34	43.394047080287
685	c	36	59.7311315879275
686	a	37	57.1389732627907
687	b	33	44.4693927321954
688	a	32	48.4261193443313
689	b	39	47.6860008180875
690	a	33	44.4226525725467
691	a	30	33.1545860992954
692	c	34	51.0724304259057
693	a	36	57.0650117897259
694	c	26	61.5560133850003
695	b	35	37.0160189212521
696	a	36	29.0145498948543
697	c	33	28.3614755773686
698	b	38	94.7778551292037
699	b	33	41.4089362102651
700	b	35	60.3847846566477
701	c	33	66.2492327210558
702	b	34	39.6913604341293
703	c	37	44.1262661140985
704	a	30	60.6110483260591
705	b	31	24.8396625975297
706	c	37	62.1752207727772
707	b	35	43.499346028237
708	a	42	74.5067958015571
709	a	32	48.0057482414496
710	b	35	54.6273440735795
711	a	36	87.1675585330722
712	b	36	55.2894600609889
713	a	29	38.4951331362148
714	b	39	57.2034333979959
715	b	41	43.0597564315903
716	c	37	61.8723001299608
717	b	29	49.5618675609414
718	a	34	66.706986833967
719	c	33	83.1367995022424
720	b	35	40.8332421111505
721	b	32	40.4169395077799
722	c	32	44.8925325821917
723	a	30	46.0447397371375
724	a	35	34.7433515457432
725	b	30	21.1811986768799
726	b	32	52.4735428462783
727	b	27	31.9202974890522
728	a	30	30.3955168037797
729	a	38	65.0295401708699
730	b	39	49.7045721525611
731	b	30	26.6962150325196
732	a	29	18.075126154553
733	c	35	71.8755438778531
734	a	32	37.5234808411644
735	b	36	32.4033265903945
736	c	35	37.7591683153492
737	a	34	49.5840643584686
738	c	42	36.9152494189725
739	c	28	52.4430941125935
740	a	33	56.2335578865851
741	a	29	43.8489402887508
742	a	33	62.8316045921156
743	a	35	54.6991759533868
744	c	33	36.4688862743697
745	a	34	57.7268624501896
746	c	34	59.9830346111026
747	b	30	61.5326965923343
748	c	27	49.1220550050375
749	c	34	45.1190479103242
750	c	36	78.5926010824915
751	c	38	44.218657411984
752	c	40	59.7872493733089
753	a	36	26.2220404016096
754	c	35	59.4593465915607
755	a	37	41.0258104820965
756	b	35	40.695302439068
757	a	36	17.7592659781085
758	b	32	38.7312430194766
759	b	32	53.4511920861532
760	b	35	56.3152736694814
761	b	34	60.122581262425
762	b	37	42.0545882930351
763	c	35	32.8608162696605
764	b	36	19.5974021898848
765	c	34	32.7028339136313
766	b	30	54.2146545915781
767	c	34	44.581019355792
768	a	39	34.9527199362151
769	b	37	41.7497287144012
770	c	37	33.1962690111322
771	b	38	47.2390498667868
772	c	33	41.7798926035726
773	a	32	52.960325003459
774	c	33	40.4915987920065
775	b	33	23.8925658291986
776	a	33	34.5935879636861
777	a	34	49.6750950079329
778	b	32	52.1433840373289
779	a	33	55.6648109338413
780	a	35	59.3394640790557
781	b	36	49.3786213868233
782	a	34	19.040761870805
783	b	33	50.8318544418312
784	b	36	32.0241550025402
785	b	37	35.545041922674
786	a	34	41.2019683479538
787	a	36	33.1383184287186
788	b	31	51.9410670361271
789	a	35	36.0483976148448
790	a	37	57.2673272427057
791	b	33	59.5019772432507
792	a	29	62.5062636363763
793	c	34	54.5887992725685
794	c	32	32.4554309559779
795	c	35	43.8578921397992
796	a	35	67.8055470378813
797	b	34	24.5328524338606
798	b	33	38.8305875593454
799	a	35	82.4018171068046
800	c	36	54.5690318342157
801	c	36	63.2467995073671
802	b	34	72.0917254450181
803	a	38	43.7768879190848
804	b	35	39.2826254349597
805	a	30	57.3998043239389
806	a	39	61.4212097678239
807	c	37	54.7192726036382
808	a	40	56.6257073556269
809	b	33	98.0274112652658
810	b	31	32.1790501952093
811	b	35	52.4825168471584
812	b	34	52.5020614705414
813	b	36	54.8333645334092
814	b	34	54.6547361116263
815	b	36	42.7033201801811
816	a	40	48.1837705792692
817	c	34	53.6444532835384
818	c	33	46.7839143784878
819	a	29	44.3450522402995
820	a	36	58.3153307570197
821	a	34	61.5663326894816
822	b	35	62.2958376903375
823	b	37	57.4586341381597
824	a	33	41.7217336229365
825	a	36	59.0065834211207
826	c	30	33.5407630395019
827	b	30	50.2628070714525
828	b	35	42.4306880542091
829	c	32	60.8506711994277
830	b	29	44.0331807676867
831	b	38	80.5631776169491
832	a	37	43.710496332266
833	c	33	63.6652509409556
834	b	38	36.3228026108937
835	b	33	53.2809273685351
836	c	37	56.0279959881304
837	a	33	56.3115316930765
838	c	36	45.1143865162195
839	c	30	62.2438437725153
840	c	33	85.2533256561124
841	c	40	49.7097872579186
842	b	31	16.6030801929746
843	b	40	42.070050705346
844	a	40	40.5884757200902
845	c	40	56.7957342701286
846	c	31	55.9976567135368
847	a	33	41.4360065604404
848	a	36	44.7134293112044
849	c	35	53.8796990394242
850	b	35	56.9285346759713
851	a	35	34.885580017702
852	c	38	46.6631297224002
853	a	33	40.0608640981571
854	b	37	79.8447002911483
855	c	35	51.0479314223297
856	a	32	29.7779308784895
857	b	36	69.0192250824412
858	c	39	63.5783167930838
859	b	30	49.8668138212365
860	c	38	45.7706302361333
861	a	35	27.4807981583464
862	a	33	56.2290126789492
863	c	28	20.3690702157132
864	b	31	70.9083365525033
865	c	34	36.2949096162488
866	b	42	21.5029899638195
867	b	34	47.3745543765352
868	c	28	57.9084741492245
869	c	41	44.810184376033
870	c	35	57.4764334537092
871	c	34	40.7092404849506
872	b	36	54.7191427703859
873	b	37	30.3664132727454
874	b	31	59.1280200744029
875	c	33	61.0334853826812
876	c	32	53.9504361218991
877	a	36	67.7903307456334
878	a	29	30.9764561194617
879	b	35	55.129960237292
880	b	37	31.493781426791
881	c	31	73.785984816747
882	b	30	50.0517441246646
883	a	31	69.4349286133395
884	c	33	57.5454867840178
885	b	32	50.5972682322944
886	a	36	23.1038952790853
887	c	32	29.9348632552802
888	b	40	50.8498411339638
889	c	36	50.6169848109832
890	a	36	39.5877597895373
891	b	30	41.3475170033033
892	c	30	62.5778893489527
893	c	36	48.2761181363341
894	a	35	45.2861995892181
895	b	33	56.1442230952607
896	c	32	81.653081201235
897	b	34	72.697385336907
898	c	39	45.2749012385724
899	c	34	60.9954850705749
900	a	35	53.3164448908637
901	a	35	47.5722837103378
902	c	45	83.8311990063081
903	a	36	59.9136674173613
904	b	34	53.8586606810399
905	c	39	45.6229656431798
906	c	38	57.8363134962238
907	b	34	69.4397110380255
908	b	37	45.0946282831884
909	b	38	41.5076880286117
910	c	33	78.3149219575162
911	c	33	34.0202905147622
912	a	31	62.6698546712365
913	b	35	30.9908206009548
914	c	35	56.325060948835
915	c	35	42.7976625104399
916	b	40	29.2234218974511
917	c	35	26.5209398650954
918	b	32	55.2998985257515
919	a	35	33.277403520432
920	a	37	56.3532464976516
921	a	33	47.7161832518706
922	c	38	52.0153048615126
923	a	34	35.2997657524894
924	b	37	87.1317706392531
925	b	36	45.9746406245854
926	c	40	61.1003160051124
927	c	37	22.0907415914539
928	b	35	92.4375120726029
929	b	34	55.3937218511388
930	a	34	48.5320030119476
931	a	39	73.532829947657
932	a	35	68.352276073819
933	a	37	43.8265607014589
934	c	30	54.1670464466983
935	c	44	40.0394229103654
936	b	38	21.8520718649826
937	a	39	37.918079603099
938	a	35	45.9482597364031
939	c	39	53.2119579128729
940	b	37	14.5991417606415
941	a	38	58.7763553368299
942	a	35	45.7470719051573
943	c	32	55.1789462938428
944	a	39	45.2424266323531
945	c	38	60.8885023967453
946	b	32	51.267147224897
947	b	39	56.6423812321784
948	a	33	55.0247829142591
949	c	36	46.2646860455215
950	a	37	29.3579275173085
951	b	35	54.7079161476019
952	b	41	75.5116164801525
953	a	38	54.7798820679155
954	c	30	42.6627315033856
955	b	34	40.5064303154596
956	c	41	53.8537228685796
957	a	32	63.5954866018324
958	a	28	79.0815677337058
959	a	33	44.1166003732122
960	b	31	26.6942659484799
961	b	29	56.035054920153
962	b	33	59.1459531674401
963	a	31	56.8092636677717
964	c	33	52.0734801936314
965	a	36	59.41125136481
966	a	34	56.348893342705
967	c	39	47.4548537145265
968	a	36	31.59080079552
969	c	33	23.5808246507742
970	b	35	27.1082504487789
971	b	33	61.6884589336785
972	c	41	35.2343525239392
973	c	37	61.5299776675955
974	c	36	60.4618253916945
975	a	35	54.6729094078422
976	c	34	31.7120611352258
977	a	35	37.6041553363235
978	b	32	24.6618488065078
979	b	39	43.9016418587711
980	b	40	69.7184229224217
981	a	35	59.2869440233521
982	a	34	42.3937608011488
983	c	33	45.0857947217216
984	c	41	29.9254128235429
985	c	39	64.0251211116087
986	b	30	64.4478829589494
987	c	36	51.046695402101
988	b	37	62.9289078498566
989	b	36	31.5892202565159
990	c	34	73.9545015613483
991	b	34	44.2401548625211
992	b	33	28.0715385460137
993	b	36	39.1792511060768
994	a	30	49.2852967364158
995	a	36	31.908544842034
996	c	32	51.044885767983
997	c	36	51.8497926071651
998	a	41	66.0580364535945
999	b	32	45.5579242638749
1000	b	32	20.8362583751974
1001	a	30	23.4746359569625
1002	b	32	29.0312914126039
1003	a	39	47.6829496646989
1004	c	30	28.9481368626012
1005	a	37	44.0560247302254
